cohort	outcome	feature	family	sources	raw_spearman	within_base_spearman	within_base_task_spearman	within_base_task_pearson	permutation_p	exact_seed_permutations	fdr_q
source18	forgetting_gap	base_bilateral_overlap_k16	source	18	0.09336225167868467	0.38656827113536824	0.27386127875258304	0.07335620964441393	0.4367283950617284	46656	0.6793552812071331
source18	hns_target_gain	base_bilateral_overlap_k16	source	18	0.28202494387818194	-0.1422606594884729	0.26111648393354675	-0.26643872523481615	0.4291838134430727	46656	0.9511442336645588
source18	hns_off_gain	base_bilateral_overlap_k16	source	18	0.24045407636738902	0.275	0.0	0.005466216597165775	1.0	46656	1.0
source18	hns_forgetting_reduction	base_bilateral_overlap_k16	source	18	0.12033356883030469	0.33614632272640715	0.5477225575051661	0.14078146679416326	0.0787037037037037	46656	0.7413194444444444
source18	target	base_left_overlap_k4	source	18	0.1291991216864363	-0.4360673247030773	0.0890870806374748	0.1831658520642813	0.8209876543209876	46656	0.9319319319319319
source18	off_score	base_left_overlap_k4	source	18	0.8988648090815272	0.7	0.16666666666666669	-0.18101581649183798	0.6737825788751715	46656	0.8843396347736625
source18	forgetting_gap	base_left_overlap_k4	source	18	-0.5591361517201227	-0.5462377744304117	-0.09128709291752768	0.2822356949920346	0.8868312757201646	46656	0.9550490661601773
source18	hns_target_gain	base_left_overlap_k4	source	18	0.5630168293538796	0.1338923854009157	-0.3481553119113957	-0.4420319236968803	0.2690329218106996	46656	0.9511442336645588
source18	hns_off_gain	base_left_overlap_k4	source	18	-0.42002063983488125	-0.6083333333333333	0.0	0.20130440423361362	1.0	46656	1.0
source18	hns_forgetting_reduction	base_left_overlap_k4	source	18	-0.5134923842327657	-0.5546414324985718	0.18257418583505536	0.27197986985001155	0.6450617283950617	46656	0.9550490661601773
source18	target	base_right_overlap_k4	source	18	-0.5323003813481175	-0.6624868971450597	0.1781741612749496	-0.28832046910118525	0.6111111111111112	46656	0.9319319319319319
source18	off_score	base_right_overlap_k4	source	18	-0.11455108359133126	0.0	0.0	0.044343994333952474	1.0	46656	1.0
source18	forgetting_gap	base_right_overlap_k4	source	18	0.4242795659620226	0.3613572969308877	0.18257418583505536	-0.09125259438391772	0.6450617283950617	46656	0.9342273307790548
source18	hns_target_gain	base_right_overlap_k4	source	18	-0.2665290678409192	-0.1673654817511446	0.17407765595569785	0.07100058417111788	0.6075102880658436	46656	0.9511442336645588
source18	hns_off_gain	base_right_overlap_k4	source	18	0.4592363261093911	0.275	0.0	-0.22240655201574253	1.0	46656	1.0
source18	hns_forgetting_reduction	base_right_overlap_k4	source	18	0.40353239892231485	0.3109353485219266	0.45643546458763845	0.09745367383243904	0.15895061728395063	46656	0.7413194444444444
